Title 	Image Link	Text description
Солнце	https://kpfu.ru/portal/docs/F1938609517/03.maya.jpg	Наша родная звезда, без которой невозможна жизнь на Земле. Представляет собой жёлтый карлик с радиусом 695,5 тысяч километров и массой, равной 333 массам Земли. Является эталоном для характеристики других небесных тел.
Сириус	https://avatars.mds.yandex.net/i?id=548dff74d083b58457924787f4465045_l-5192585-images-thumbs&n=13	Самая яркая звезда на небе, в 25 раз ярче Солнца. Является двойной звёздной системой и главной звездой созвездия Большого Пса. Хорошо видна практически из любой точки Земли.
Проксима Центавра	https://cdn.ren.tv/cache/1200x630/media/img/77/11/7711de74a2dd091c45d844a72fa5c7d73ad73ed5.jfif	Ближайшая к Земле звезда, находится на расстоянии чуть более 4 световых лет. Относится к системе Альфа Центавра, но из-за слабой светимости не видна с поверхности Земли.
Альфа Центавра	https://yandex-images.clstorage.net/N1B00o314/f6a390TH/YlKApKr-OS1mEpMDSyb4Ag6qLn9TB-YE9eaZmRqlwkvRHt2xyPbAJxt44m4ozy1jTvEufqtY2UFMNU6qFKz05hcmdSC_ehzJFhLCR_uCOaLPq3q-hzayJWWm7AnaxgGcQzmbRr7BB3DcmVdL3Qopwur1bdgaP6mTKwHbLzf-41ED0ZCG2p6I-cRgwvTa1bnizlnqLzNHgicwhIuc7NcwTVIriAffMAZS3wnnKy-JarY5BOxZzP_oYUoCSVxVHTNRUiESVkgcWUsXYkLHmgYpYO46muzS9oBmkCcqr5zEcvxCG0ik_8H1Ui675zocepnnOYU-ux59KhA5sTttdT-wwbNwgDeY3FsIxNICpRilibM9W3pfkFQxhyGW2oweVMIcsTobpO3RVyKuSicJ_VjLVhtnL7ucbBmRGWIKr4fdQ1MTcuPVWq3rueagMIa6NLnDL-v6DXInAuRARGkcXUfjLwI7G5TvwKVjzltVeax6-ITL931Zba850UsjOs_l7qOSwMCCRcmcGnkG4eNWOuXroX7pSfyj9BN0MYQZHNxXIq7wWiu23yI3cJ8K9ZlP6CvUWNZcOz9dOCHrYgruZS5TMPLTEmT5z5m6puOC9oh16CD_i2h_oSaA1CMU-Z3MxWPOA9vY1J1zR-KcC7fb_ht4hyjXvGiOzghASXD7r3cPUFMR4YDFuWyIq6RyINTr1LiRP8q6LKL3MCTjVlrM7-bTPsCp-ebO0pYj7ImXmQ1bCAbpRo9orV0K4boQ6T1HfkCQgMJBNmtMGWnVwvB0CCRYsK-ryoyTFQHXUOULj42lUt6Rmio2LMH2IDxJ1ssduFlUKOZMmo-c2sFpkjheZdxik7KTs7Rrz_tYF6Pi1oiX2_J_iKud0MUDheCGSM2_ZzK9cbv5Jj-ih0JeGZfb_dtIphkWfNt-bkuhilH7LTWO0BGgsvB26307esTgMIQKBIgivasIbrAG4tRAtxm9rRWR8	Тройная звёздная система в созвездии Центавра. Включает в себя невидимую Проксиму и два ярких компонента А и В, видимых невооружённым глазом. Занимает третье место среди самых ярких звёзд неба.
Канопус	https://4.bp.blogspot.com/-wXsqPkL66tg/XIt-cp6LrLI/AAAAAAAAApU/T4jAElQDhW82lCH3teMCoRrczgCexMUcwCLcBGAs/s1600/canopus%2Bfred%2Bespenak.jpg	Второй по яркости объект на небе после Сириуса. Это жёлтый сверхгигант с радиусом около 65 солнечных и светимостью в 14 тысяч раз больше солнечной.
Арктур	https://avatars.dzeninfra.ru/get-zen_doc/1864855/pub_5f78073171c44f082971e7cf_5f78075771c44f08297207fd/scale_1200	Яркий оранжевый гигант в созвездии Волопаса. Занимает четвёртое место по яркости среди звёзд неба, имеет размер 25 солнечных радиусов.
Вега	https://i.pinimg.com/originals/75/6a/a2/756aa283b4c30561ead529eb24539e76.png	Пятая по яркости звезда на небе, находится в созвездии Лиры. Считается самой изученной звездой астрономами, служила нулевым показателем при измерении звёздных величин.
Альдебаран	https://avatars.dzeninfra.ru/get-zen_doc/108343/pub_5af45cdac3321b9f0ebd4f7f_5af45d32a815f14484528b4b/scale_1200	Оранжевый гигант в созвездии Тельца с радиусом 44,2 солнечных. Одна из самых ярких звёзд на ночном небе, легко различима невооружённым глазом.
Бетельгейзе	https://avatars.mds.yandex.net/i?id=8018405b2cc654e37b521f8f41d339c1_l-5238639-images-thumbs&n=13	Красный сверхгигант в созвездии Ориона, известный своей колоссальной светимостью (в 80-105 тысяч раз ярче Солнца). Имеет огромный радиус около 1075 солнечных, активно теряет газ из своей атмосферы.
Ригель	https://avatars.mds.yandex.net/i?id=79af448f5a7daff7453ef2a85399a748_l-5244093-images-thumbs&n=13	Тройная звёздная система в созвездии Ориона, состоящая из синего супергиганта и двойной системы. Имеет размер 78,9 солнечных радиусов и является одной из самых ярких звёзд.
